PREGÃO;DESCRIÇÃO;QUANTIDADES DE ITENS LICITADOS;VALOR TOTAL HOMOLOGADO;UNIDADE RESPONSÁVEL
ago/19;SEGURO PREDIAL;;3.100,00;PARANAGUÁ
set/19;RECARGA EXTINTORES E TESTE HIDROSTÁTICO;;3.739,00;PARANAGUÁ
abr/19;ÁGUA E GÁS GLP;;5.540,00;PARANAGUÁ
jan/19;MANUTENÇÃO DE AR CONDICIONADO;;8.045,00;PARANAGUÁ
jun/19;DEDETIZAÇÃO;;8.400,00;PARANAGUÁ
17/2019;ITENS ELETRÔNICA PROJETO GIL;;8.509,80;PARANAGUÁ
nov/19;CILINDROS DE ARGÔNIO E RECARGA GASES;;11.000,00;PARANAGUÁ
out/19;LOUSAS DE VIDRO E ESPELHO;;15.040,00;PARANAGUÁ
15/2019;COFFE BREAK;;15.600,00;PARANAGUÁ
fev/19;REFORMA DO PALCO DO AUDITÓRIO;;16.950,00;PARANAGUÁ
jul/19;TOKENS E CERTIFICADOS DIGITAIS;;2.880,00;PARANAGUÁ
20/2019;ENERGIA ELÉTRICA;;360.000,00;PARANAGUÁ
jan/19;Aquisição de materiais para laboratório de soldagem;;960,5;PARANAVAÍ
fev/19;Prestação de Serviço de publicação em D iário Oficial da União dos Atos Oficiais;;5.400,00;PARANAVAÍ
mar/19;Prestação de serviço de fornecimento de lanche em intervalo de eventos realizados no I FPR;;2.205,00;PARANAVAÍ
abr/19;Aquisição de materiais para cerimônia formatura;;300;PARANAVAÍ
mai/19;Aquisição de materiais para manutenção das portas e janelas de vidro no Bloco 2 - Didático;;445;PARANAVAÍ
jun/19;Aquisição de tinta para impressora inst alada na biblioteca do campus;;228;PARANAVAÍ
jul/19;Aquisição de materiais para manutenção de persianas.;;344;PARANAVAÍ
ago/19;Contratação de serviços de publicações oficiais em jornal de circulação regional para atender às necessidades do IFPR;;400;PARANAVAÍ
set/19;Prestação de serviços de manutenção cor retiva e preventiva de ares condicionados.;;3.400,00;PARANAVAÍ
out/19;Aquisição de Fundo sintético anticorros ivo com secagem rápida (ZARCÃO);;182,37;PARANAVAÍ
nov/19;Aquisição de materiais de construção pa ra manutenção de bens imóveis;;1.754,00;PARANAVAÍ
dez/19;Aquisição de Boias e Espudes para Manut enção de Instalações Hidráulicas;;620;PARANAVAÍ
13/2019;Aquisição de material químico para aula s e projetos do curso de agroindústria;;1.805,00;PARANAVAÍ
14/2019;Aquisição de materiais para realização das oficinas realizadas no SIPEN e Semana do Me io Ambiente;;285;PARANAVAÍ
15/2019;Reforço de empenho para aquisição de ma teriais de construção para manutenção de bens i móveis;;307,5;PARANAVAÍ
16/2019;Aquisição e renovação de certificados d igitais para os servidores do IFPR;;3.483,00;PARANAVAÍ
17/2019;Aquisição de materiais para realização de oficinas na Semana do Meio Ambiente;;108,05;PARANAVAÍ
18/2019;Aquisição de materiais para manutenção da central de alarme de incêndio do campus;;1.451,15;PARANAVAÍ
19/2019;Aquisição de carimbos institucionais.;;1.210,00;PARANAVAÍ
20/2019;Aquisição de materiais para manutenção de bens imóveis;;370;PARANAVAÍ
21/2019;Aquisição de materiais para manutenção de bens imóveis;;970,5;PARANAVAÍ
22/2019;Aquisição de materiais para manutenção de bens imóveis;;60,75;PARANAVAÍ
23/2019;Aquisição de materiais para manutenção de bens imóveis;;148;PARANAVAÍ
24/2019;Aquisição de materiais para manutenção de bens imóveis;;98,72;PARANAVAÍ
25/2019;Aquisição e renovação de certificados d igitais para os servidores do IFPR Campus Paran avaí;;3.420,00;PARANAVAÍ
26/2019;Aquisição de acionadores e sirenes para manutenção do sistema de alarmes de incêndio d o bloco administrativo.;;1.540,10;PARANAVAÍ
27/2019;Aquisição de materiais para manutenção do sistema de iluminação pública;;127;PARANAVAÍ
28/2019;Aquisição de materiais para manutenção da cancela da portaria do campus;;165,76;PARANAVAÍ
29/2019;Aquisição e Instalação de Sinalizadores e Acionadores para manutenção do Sistema de Pr evenção de Incêndios.;;887,8;PARANAVAÍ
31/2019;Aquisição de materiais para aulas de la boratórios dos cursos de Técnico em Eletromecân ica Subsequente, Técnico em Mecatrônica Integra do ao Ensino Médio e Engenharia Elétrica;;333,74;PARANAVAÍ
32/2019;Aquisição de material de limpeza para quadra poliesportiva.;;1.343,80;PARANAVAÍ
33/2019;Prestação de serviço de fornecimento de lanche em intervalo de eventos realizados no I FPR;;5.780,00;PARANAVAÍ
34/2019;Aquisição de materiais para aulas práti cas dos cursos de mecatrônica e eletromecânica;;528,5;PARANAVAÍ
35/2019;Aquisição de materiais para manutenção da guarita do campus;;2.450,00;PARANAVAÍ
36/2019;Aquisição de materiais para manutenção da guarita e iluminação externa do campus;;3.299,00;PARANAVAÍ
37/2019;Contratação de renovação para seguro pr edial do Campus Paranavaí;;4.929,22;PARANAVAÍ
38/2019;Inscrição de servidoras da Diretoria de Planejamento e Administração em capacitações d a área de planejamento de licitações, compras e contratos;;15.880,00;PARANAVAÍ
39/2019;Aquisição de Materiais para manutenção de bens imóveis;;580;PARANAVAÍ
40/2019;Contratação de serviços de transporte p ara realização de visitas técnicas;;15.730,00;PARANAVAÍ
41/2019;Aquisição para manutenção de bens imóve is.;;432;PARANAVAÍ
42/2019;Aquisição de Materiais para Manutenção da Segurança do Acesso Principal do Campus Para navaí.;;5.576,50;PARANAVAÍ
43/2019;Aquisição de acessórios e materiais par a manutenção de instrumentos musicais da aulas práticas das disciplinas de artes;;700;PARANAVAÍ
45/2019;Aquisição de Equipamentos para as Salas de Convivência.;;4.000,08;PARANAVAÍ
46/2019;Aquisição de Materiais Elétricos (Guia Passa Fio e Multímetro Digital) para atender de manda dos Técnicos de TI;;57,01;PARANAVAÍ
47/2019;Aquisição de encordoamentos e suportes para instrumentos musicais das aulas práticas d a disciplina de artes.;;1.169,00;PARANAVAÍ
48/2019;Aquisição de Chaveiros para a Bibliotec a do Campus Paranavaí;;800;PARANAVAÍ
49/2019;Contratação de empresa especializada na prestação de serviços, sob demanda, capinagem e conservação de áreas de propriedade e uso do IFPR (ROÇADA), para atender as necessidades do Instituto Federal do Paraná;;17.600,00;PARANAVAÍ
50/2019;Aquisição de materiais para manutenção de bens móveis.;;193,5;PARANAVAÍ
51/2019;Aquisição e Instalação de Peças e Servi ços para Manutenção Corretiva e Preventiva de A res Condicionados;;14.045,00;PARANAVAÍ
52/2019;Aquisição de materiais para festividade s e homenagens;;150;PARANAVAÍ
53/2019;Aquisição de mudas de plantas para pais agismo;;16.627,00;PARANAVAÍ
54/2019;Aquisição de materiais para manutenção de computadores do campus;;17.376,72;PARANAVAÍ
55/2019;Aquisição de materiais elétricos para m anutenção geral.;;1.749,50;PARANAVAÍ
56/2019;Aquisição de sistema gerador fotovoltái co 6,6 Wp com projeto e instalação inclusos;;17.600,00;PARANAVAÍ
57/2019;Inscrição de servidoras da Diretoria de Planejamento e Administração em capacitações d a área de planejamento de licitações, compras e contratos;;13.980,00;PARANAVAÍ
58/2019;Inscrição de servidoras da Diretoria de Planejamento e Administração em capacitações d a área de planejamento de licitações, compras e contratos.;;1.900,00;PARANAVAÍ
59/2019;Aquisição de cabeamento para equipament os de sonorização e instrumentos musicais;;1.235,00;PARANAVAÍ
61/2019;Aquisição de material elétrico e materi al de manutenção.;;771;PARANAVAÍ
62/2019;Aquisição de Piso Intertravado em Concreto.;;3.306,50;PARANAVAÍ
63/2019;Aquisição de Gêneros Alimentícios;;1.901,50;PARANAVAÍ
64/2019;Aquisição de material gráfico (banner).;;350;PARANAVAÍ
65/2019;Aquisição de Material Laboratorial;;2.384,00;PARANAVAÍ
66/2019;Aquisição de material de limpeza e prod ução de higienização;;6.000,00;PARANAVAÍ
fev/19;Aquisição de materiais elétricos;;5.337,50;TELÊMACO BORBA
jan/19;Aquisição de materiais de manutenção predial;;1.970,00;TELÊMACO BORBA
mar/19;Instalação e manutenção de aparelhos de ar-condicionado;;1.860,00;TELÊMACO BORBA
abr/19;Aquisição de materiais elétricos;;3.251,26;TELÊMACO BORBA
ago/19;Contratação de propaganda;;800;TELÊMACO BORBA
out/19;Aquisição de certificação digital e token;;1.050,00;TELÊMACO BORBA
nov/19;Contratação de seguro predial;;4.000,00;TELÊMACO BORBA
mai/19;Curso de Formação de Brigadistas;;2.990,00;TELÊMACO BORBA
dez/19;Aquisição de materiais elétricos;;4.524,96;TELÊMACO BORBA
13/2019;Aquisição de certificação digital e token;;1.212,00;TELÊMACO BORBA
jun/19;Fornecimento de materiais relativos a manutenção e/ou reforma predial;;2.460,33;TELÊMACO BORBA
43466;Contratação de empresa para serviços de desinsetização, desratização e limpeza de caix a d'água para o Campus Umuarama;;7.600,00;UMUARAMA
fev/19;Aquisição de material de consumo, sendo 50 metros de Fio/Cabo PP 3 x 4 mm para atender a demanda de manutenção/instalação dos ar cond icionados do campus Avançado Goioerê;;350;UMUARAMA
mar/19;Contratação de empresa para serviço de manutenção e conserto de aparelhos de ar condic ionado;;1.024,00;UMUARAMA
abr/19;Aquisição do disjuntor trifásico DIN de 100a para substituição na caixa de entrada de energia do Bloco 2, afim de evitar o aqueciment o dos fios de energia levando ao risco eminent e de incêndio no Campus;;80;UMUARAMA
mai/19;"Serviço de Demarcação de Divisa entre o s lotes das Matrículas n 394 e 25.178. Utiliza ndo-se de equipamento: Estação Total a Laser ou infravermelho, GPS RTK ou Outro com colocação de ""Estacas"" para Demarcar a área do Campus Ava nçado Goioerê do IFPR. Levantamento Topográfico";;3.500,00;UMUARAMA
jun/19;Solicitação de execução de serviço com caminhão auto fossa de capacidade 8m para real ização de esgotamento de fossa do bloco 3 e 4 d evido a transbordo.;;180;UMUARAMA
jul/19;Contratação de empresa para serviços de impressão de folhas com a logo do IFPR colorid as para posterior preenchimento e impressão das carteirinhas estudantis;;150;UMUARAMA
ago/19;Aquisição de material hidráulico para a tender a demanda de manutenção/reparo dos regis tros, canos e outros que estão conectados/insta lados junto as Caixas D águas do Campus;;347,12;UMUARAMA
set/19;Aquisição de reagentes para preparação de nanopartículas, que serão utilizados para de senvolvimento de pesquisas e dissertações ligad as ao Programa de Mestrado em Sustentabilidade IFPR/UEM;;1.505,00;UMUARAMA
out/19;Serviço de lanche/coffee break. Mínimo de dois tipos de salgados (variando entre sandu íches, tortas e/ou salgados assados), pão de qu eijo, dois tipos de bolo simples doce, café, re frigerante, suco natural e/ou de caixa. Forneci mento do material necessário, como mesas, toalh as, bandejas, copos, guardanapos e talheres, et c;;4.050,00;UMUARAMA
nov/19;Contratação de empresa especializada em limpeza em altura para o Bloco 2;;6.600,00;UMUARAMA
dez/19;Aquisição de material engarrafado (reca rga de gás) para atender a demanda do Campus Um uarama em 2019/2020. 10 unidades - Recarga de Gás GLP 13KG uso domestico 02 unidades - Reca rga de Gás GLP 45KG uso industrial;;1.367,20;UMUARAMA
14/2019;Aquisição de materiais de consumo de Te cnologia da Informação e Comunicação para manut enção do sistema de TI do Campus Umuarama;;12.159,50;UMUARAMA
15/2019;Aquisição de dispositivo Token e contra tação de serviço de certificação digital para o Campus Umuarama e Campus Avançado Goioerê.;;1.740,00;UMUARAMA
16/2019;Aquisição de artigos de decoração para atender demanda do Campus Umuarama em seus even tos e formaturas;;4.095,70;UMUARAMA
17/2019;Aquisição de cortinas de ar. CORTINA DE AR, DIMENSÕES APROXIMADAS 0,90 X 0,22 X 0,1 8 M (L X A X P) - CORTINA DE AR, DIMENSÕES A PROXIMADAS DO PRODUTO: 0,90 X 0,22 X 0,18 M (L X A X P), DEVE POSSUIR NÍVEL DE RUÍDO ENTRE AS NORMAS TÉCNICAS DA ABNT. VOLTAGEM: 220 V, POTÊN CIA: 220 W, FREQUÊNCIA: 50/60 HZ, VAZÃO DE AR a proximada (M /H): 1200, NÚMERO DE VELOCIDADES: MÍNIMO 2. COM CONTROLE REMOTO.;;1.799,96;UMUARAMA
18/2019;Contratação de Apólice de Seguro Predia l de acordo com valores de coberturas pré defin idas;;6.873,46;UMUARAMA
20/2019;Contratação de empresa para serviço de conserto e manutenção de bebedouro industrial.;;650;UMUARAMA
21/2019;Contratação de empresa para serviços de desinsetização, desratização e limpeza de caix a d'água para o Campus Avançado Goioerê.;;1.900,00;UMUARAMA
23/2019;Aquisição de Máquinas, Ferramentas e Ut ensílios de Oficina - Triturador de resíduos só lidos para construção civil - editais da PROEQ em 2018 e 2019;;12.705,94;UMUARAMA
24/2019;Aquisição de Material Laboratorial - pe ças (Cartucho dessecante e Janela KBR) que serã o utilizadas para reposição no equipamento do Espectrofotômetro de Infravermelho com Transfor mada de Fourier (FTIR) - Marca referência Agile nt.;;10.746,96;UMUARAMA
25/2019;Aquisição de Aparelhos de Medição e Ori entação e Máquinas - Decibelímetro - editais da PROEQ em 2018 e 2019.;;14.684,83;UMUARAMA
26/2019;Aquisição de Densímetro para sedimentaç ão de solos, com bulbo simétrico, escala 0,995 a 1,050 x 0,001g/cm conforme NBR 7184 para Lab oratório de Edificações do IFPR - Campus Umuara ma;;550;UMUARAMA
27/2019;Serviço para deslocamento da PRENSA DL3 0000/PC200C da parte externa do laboratório par a a parte interna, inclusos os serviços de guin cho. Instalação e colocação do equipamento em o peração. Calibração de força das células.Treina mento para colaboradores. Instalação do softwar e Tesc na versão original.;;13.750,00;UMUARAMA
28/2019;"Serviço de calibração de força da célul a de carga capacidade 200tf em compressão para PRENSA SOLOCAP 44CIC NO360 e treinamento para c olaboradores na utilização do equipamento. Obs ervações: Não estão inclusas nenhuma peça qu e porventura apresente defeito; Incluso todas as despesas de deslocamento, hospedagem e alime ntação, km, hotel entre outras.";;3.600,00;UMUARAMA
29/2019;Contratação de serviço de fornecimento de energia elétrica para o exercício 2020.;;295.000,00;UMUARAMA
30/2019;Aquisição de 10 bolas de futsal para at ender o Campus Umuarama.;;2.900,00;UMUARAMA
31/2019;Contratação de serviço de fornecimento de energia elétrica para o Campus Avançado Goio ere;;102.000,00;UMUARAMA
32/2019;Aquisição de material para manutenção d e bens imóveis - tinta para piso.;;720;UMUARAMA
33/2019;Aquisição de controle remoto universal para ar condicionado;;1.440,00;UMUARAMA
35/2019;Contratação de empresa para serviço de conserto e manutenção de bebedouro industrial;;650;UMUARAMA
jan/19;Dispensa de licitação para substituição de fios e materiais elétricos no Campus Avançado Astorga.;;5.396,24;LONDRINA
fev/19;Controlador de Acesso, tipo USB TOKEN, Aplicação Certificação Digital, Certificado Digital Tipo A3 para Astorga;;450;LONDRINA
mar/19;Contratação de Serviços de Certificação Digital para o IFPR Campus Londrina;;540;LONDRINA
abr/19;Aquisição de seguro predial com o objetivo de atender o IFPR - Campus Avançado Astorga;;2.807,48;LONDRINA
mai/19;Contratação de Certificação Digital para o Campus Londrina.;;540;LONDRINA
jun/19;Fornecimento de Serviços de Energia Elétrica.;;26.000,00;LONDRINA
set/19;Contratação de empresa especializada para aquisição de apólice de seguro predial para atender a dema...;;11.500,00;LONDRINA
out/19;Recarga de Extintores do IFPR Campus Londrina nas Unidades Dom Bosco e Alagoas.;;372;LONDRINA
nov/19;Contratação de Serviço de Manutenção de Equipamentos Odontológicos no IFPR – Campus Londrina;;2.944,00;LONDRINA
dez/19;Manutenção e Reparo em poltronas alocados no auditório do IPOLON.;;2.052,00;LONDRINA
13/2019;Manutenção de Balança Analítica Campus Londrina;;600;LONDRINA
14/2019;Manutenção em Aparelhos de Ar Condicionado do Campus Londrina;;3.900,00;LONDRINA
15/2019;Contratação de Serviço de Apoio à Organização de Formatura dos Alunos do IFPR.;;1.750,00;LONDRINA
16/2019;Token e Serviço de emissão, validação de Certificados Digitais do tipo A3, pessoa física (e-CPF), pa...;;345;LONDRINA
17/2019;Execução de calçada ecológica em paver seguindo padrão da Prefeitura Municipal de Londrina.;;12.025,00;LONDRINA
19/2019;Manutenção Instrumentos Musicais Campus Londrina;;648,02;LONDRINA
20/2019;Coffee break para o II Encontro Nacional EJA EPT da Rede Federal, promovido pelo IFPR;;7.890,00;LONDRINA
21/2019;Aquisição de Conjunto para Ozonioterapia - Aparelho Gerador e Acessórios);;9.270,00;LONDRINA
22/2019;Locação de espaço para realização de cerimônia de formatura dos alunos do IFPR Campus Londrina.;;6.800,00;LONDRINA
23/2019;Recarga de Gás GLP - 13Kg Para o Campus Londrina;;2.496,00;LONDRINA
24/2019;Envelopes padrão A4 Para o Campus Londrina;;1.000,00;LONDRINA
25/2019;Manutenção em vidros e esquadrias do Campus Londrina;;2.550,00;LONDRINA
26/2019;Aquisição de Pastas Tamanho Ofício A4 Para o Campus Londrina;;4.000,00;LONDRINA
28/2019;Fornecimento de Serviços de Energia Elétrica.;;124.200,00;LONDRINA
;;;;
INEXIGIBILIDADE;DESCRIÇÃO;QUANTIDADES DE ITENS LICITADOS;VALOR TOTAL HOMOLOGADO;UNIDADE RESPONSÁVEL
34/2019;AQUISIÇÃO DE NÚMEROS INTERNACIONAL STAN DART BOOK NUMBER - ISBN PARA ATENDER DEMANDAS DA EDITORA IFPR/PROEPPI VISANDO VIABILIZAR O PR OCESSO EDITORIAL DA EDITORA IFPR.;;154;REITORIA
56/2019;CONTRATAÇÃO DE HOSPEDAGEM E MANUTENÇÃO DO SISTEMA INTEGRADO DE BIBLIOTECAS PERGAMUM.;;27.982,20;REITORIA
57/2019;CONTRATAÇÃO DE ASSINATURA DE SISTEMA DI GITAL MULTIUSUÁRIO (ABNT-COLEÇÃO) PARA DISPONIB ILIZAÇÃO E GERENCIAMENTO DE COLEÇÕES DE NORMAS TÉCNICAS BRASILEIRAS (NBR), MERCOSUL (NM) E ISO;;8.978,80;REITORIA
61/2019;AQUISIÇÃO DE MATERIAL PARA ANÁLISE DE ALIMENTOS POR MEIO DE INEXIGIBILIDADE.;;14.000,00;REITORIA
33/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O CONGRESSO BRASILEIRO DE AUDITORIA E CONTROLE INTERNO – COBACI;;4.400,00;REITORIA
35/2019;"ATENDER DESPESAS COM INSCRIÇÕES DE PAR TICIPAÇÃO EM WORKSHOP ANPROTEC ""O FUTURO DOS AM BIENTES DE INOVAÇÃO"" PARA CAPACITAÇÃO PROFISSIO NAL DE SERVIDORES DA AGÊNCIA DE INOVAÇÃO PROEPP I/IFPR.";;1.950,00;REITORIA
36/2019;CURSO CAPACITAÇÃO EM GESTÃO ESTRATÉGIC A DE PROPRIEDADE INTELECTUAL .;;6.000,00;REITORIA
44/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO DO 30 C ONGRESSO BRASILEIRO DE MICROBIOLOGIA;;1.010,00;REITORIA
60/2019;DESPESAS COM PUBLICAÇÕES NO DIÁRIO OFIC IAL DA UNIÃO - EXERCÍCIO 2020;;310.000,00;REITORIA
65/2019;A CONTRATAÇÃO DE UMA EMPRESA RESPONSÁVEL PELA REALIZAÇÃO DE UM TREINAMENTO IN COMPANY A SER REALIZADO NOS DIAS 28 E 29 DE JANEIRO DE 2020, PARA ATENDER DEMANDA DE FORMAÇÃO PROFISSI ONAL DOS SERVIDORES DO INSTITUTO FEDERAL DO PARANÁ.;;34.387,27;REITORIA
66/2019;INSCRIÇÃO DE PARTICIPAÇÃO STARTSE EDTEC H CONFERENCE 2020 PARA CAPACITAÇÃO PROFISSIONAL DOS SERVIDORES DA AGÊNCIA DE INOVAÇÃO PROEPPI/ IFPR.;;2.612,78;REITORIA
67/2019;A CONTRATAÇÃO DA EMPRESA SOLUS TREINAME NTOS EMPRESARIAIS, CNPJ N 17.033.296/0001-40, PARA A REALIZAÇÃO DA PALESTRA GESTÃO DO TEMPO E PRODUTIVIDADE A SER MINISTRADA PELO SENHOR JO SÉ RAFAEL DE MEDEIROS FILHO, COM DURAÇÃO DE ATÉ 3 (TRÊS) HORAS, DURANTE O SEGUNDO ENCONTRO DE ADMINISTRAÇÃO, PLANEJAMENTO E DESENVOLVIMENTO INSTITUCIONAL QUE ACONTECERÁ NOS DIAS 11, 12, 13 DE FEVEREIRO DE 2020;;5.500,00;REITORIA
36/2019;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO SISTEMA DE ALARME MONITORADO ELETRO NICAMENTE, PARA ATENDER A DEMANDA DO CAMPUS JAGUARIAÍVA, CONFORME DETALHAMENTO CONSTANTE NO PROJETO BÁSICO E SEUS ANEXOS;;25.550,50;REITORIA
jan/19;CONTRATAÇÃO DE FORNECIMENTO DE ÁGUA E C OLETA DE ESGOTO PARA O CAMPUS AVANÇADO BARRACÃO NO EXERCÍCIO DE 2019;;4.200,00;REITORIA
fev/19;CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO DE ÁGUA TRATADA E ESGOTO - CAMPUS PINHAIS PARA O EXERCÍCIO 2019;;6.000,00;REITORIA
mar/19;CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO DE AGUA TRATADA E;;42.000,00;REITORIA
;ESGOTO - CAMPUS COLOMBO EXERCÍCIO 2019;;;
abr/19;CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO DE ÁGUA E TRATADA DE ESGOTO AO C. JAGUARIAÍVA P ARA O ANO/EXERCÍCIO DE 2019;;9.600,00;REITORIA
mai/19;CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO ENERGIA ELÉTRICA PARA O IFPR - CAMPUS PITANGA, EXERCÍCIO 2019;;54.000,00;REITORIA
jun/19;CONTRATAÇÃO DE SERVIÇO DE FORNECIMENTO DE ÁGUA E TRATADA DE ESGOTO AO C. JAGUARIAÍVA P ARA O ANO/EXERCÍCIO DE 2019;;9.600,00;REITORIA
jul/19;FORNECIMENTO DE ÁGUA PARA ATENDER O CAM PUS UNIÃO DA VITÓRIA DO IFPR NO EXERCÍCIO DE 2019;;5.400,00;REITORIA
ago/19;DESPESAS DE CONDOMÍNIO DO EDIFÍCIO AROE IRA, LOCADO PELO IFPR PARA FUNCIONAR COMO SEDE DA REITORIA;;420.000,00;REITORIA
set/19;PAGAMENTO DE TAXA DE INSCRIÇÃO NO EVENT O MERLIN ROAD SHOW PRODUÇÃO AUDIOVISUAL E STREA MING- SERVIDOR CLAUDIOMIRO DOS SANTOS DE MELO;;699;REITORIA
out/19;PAGAMENTO DE TAXA DE INSCRIÇÃO NO EVENT O MERLIN ROAD SHOW;;699;REITORIA
;PRODUÇÃO AUDIOVISUAL E STREA MING- SERVIDORA CARMEN SILVIA DA COSTA;;;
nov/19;TAXA DE INSCRIÇÃO PARA O CURSO FORMAÇÃ O EM INTELIGÊNCIA;;6.300,00;REITORIA
;"EMOCIONAL"" - SERVIDOR HEMERSO N CAMELO";;;
dez/19;PAGAMENTO DE TAXA DE INSCRIÇÃO NO CURSO DE FORMAÇÃO;;7.500,00;REITORIA
;INTERNACIONAL EM COACHING INTEGRAL SISTÊMICO PARA O SERVIDOR MARCELO ESTEVAM;;;
13/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO NO CURSO ELABORAÇÃO E GESTÃO DE PROGRAMAS DE PREPARAÇÃO PARA A APOSENTADORIA NA ADMINISTRAÇÃO PÚBLICA PARA A SERVIDORA ADRIANA BREZINISCKI DE PAIVA;;2.590,00;REITORIA
14/2019;PAGAMENTO E TAXA DE INSCRIÇÃO NO WORKSHOP DE PRODUÇÃO AUDIOVISUAL E STREAMING PARA O SERVIDOR FERNANDO SOUZA DE OLIVEIRA SILVA.;;699;REITORIA
15/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO - XXI EN CONTRO NACIONAL DE ALIMENTOS (ENNAL) E VII CONGRESSO LATINO AMERICANO DE ANALISTAS DE ALIMENTOS (CLAAL) PARA A SERVIDORA MICHELE ROSSET.;;610;REITORIA
16/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O X XIX SIMPÓSIO BRASILEIRO DE POLÍTICA E ADMINISTR AÇÃO DE EDUCAÇÃO PARA A SERVIDORA DANIELLE CAPE LASSO SOARES DE SOUZA.;;350;REITORIA
17/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O 3 9 CONBRAI PARA O SERVIDOR ROBERTO BATISTA.;;1.600,00;REITORIA
18/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O CURSO DE EXECUÇÃO DESCENTRALIZADA - TED, PARA OS SERVIDORES FABIO MARCELO ZAMPIERI MACHADO E B RYAN FELIPE DE OLIVEIRA;;5.960,00;REITORIA
19/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O C URSO DE MEDIAÇÃO: EMANCIPADORA E RESPONSÁVEL, P ARA A SERVIDORA ALESSANDRA SIVEK PEREZ.;;2.190,00;REITORIA
20/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O 2 SEMINÁRIO DE EDIÇÃO UNIVERSITÁRIA ACADÊMICA E A 32 REUNIÃO ANUAL DA ABEU PARA A SERVIDORA PATRÍCIA TEIXEIRA.;;250;REITORIA
21/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO PARA 50 FONAITEC - CAPACITAÇÃO TÉCNICA DOS INTEGRANTE S DAS AUDITORIAS INTERNAS DO MINISTÉRIO DA EDUC AÇÃO PARA A SERVIDORA KÉTURA SILVA PAIVA;;2.500,00;REITORIA
22/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O 2º SEMINÁRIO DE EDIÇÃO UNIVERSITÁRIA ACADÊMICA E 32 REUNIÃO ANUAL DA ABEU PARA A SERVIDORA ROBERTA RIOS;;250;REITORIA
23/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O 2 SEMINÁRIO DE EDIÇÃO UNIVERSITÁRIA ACADÊMICA E A 32 REUNIÃO ANUAL ABEU PARA O SERVIDOR JEFERSON MIRANDA ANTUNES.;;550;REITORIA
24/2019;SERVIÇO DE FORNECIMENTO DE ÁGUA.;;7.200,00;REITORIA
25/2019;INSCRIÇÃO PARA O CURSO DE TÓPICOS DO REGIME JURÍDICO ÚNICO;;7.500,00;REITORIA
26/2019;INSCRIÇÃO PARA O CURSO DE TÓPICOS DO REGIME JURÍDICO ÚNICO;;10.000,00;REITORIA
27/2019;"PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O E VENTO NOVO SINAPI AVANÇADO"".";;3.190,00;REITORIA
28/2019;"PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O E VENTO NOVO SINAPI AVANÇADO"".";;3.190,00;REITORIA
29/2019;"PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O E VENTO NOVO SINAPI AVANÇADO"".";;3.190,00;REITORIA
30/2019;AQUISIÇÃO DE 36 (TRINTA E SEIS) NÚMEROS DE ISBN.;;792;REITORIA
31/2019;PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O PROGRAMA DE FORMAÇÃO EM TREINAMENTO COMPORTAMENTAL.;;6.800,00;REITORIA
32/2019;"PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O XI SEMINÁRIO NACIONAL DO HISTEDBR"", ""IV SEMINÁR IO INTERNACIONAL DESAFIOS DO TRABALHO E EDUCAÇÃO"" E ""I SEMINÁRIO INTERNACIONAL DO HISTEDBR"".";;200;REITORIA
37/2019;SOLICITAÇÃO DE REGISTRO DE EMPENHO REFERENTE A PAGAMENTO DE TAXA DE INSCRIÇÃO PARA O SEMINÁRIO NACIONAL DE REVISÃO, REAJUSTE E REPACTUAÇÃO DOS CONTRATOS ADMINISTRATIVOS DE OBRAS, SERVIÇOS CONTÍNUOS E CONTRATOS DECORRENTES DE REGISTRO DE PREÇOS.;;10.401,60;REITORIA
38/2019;"PAGAMENTO DE TAXA DE INSCRIÇÃO PARA PAR TICIPAÇÃO DO SERVIDOR DOUGLAS LUSA KRUG NO EVEN TO ""X BRAZILIAN CONFERENCE ON SOFTWARE: THEORY AND PRACTICE"" (CBSOFT)";;550;REITORIA
