PREGÃO;DESCRIÇÃO;QUANTIDADES DE ITENS LICITADOS;VALOR TOTAL HOMOLOGADO;UNIDADE RESPONSÁVEL;OBSERVAÇÃO 
05/2020;Contratação de empresa especializada no fornecimento de máquina de corte à laser.;1;R$ 33.800,00;JACAREZINHO;
06/2020;Contratação de empresa especializada no fornecimento de folhas de acetato A3, 30 micras.;1;R$ 1.925,00;JACAREZINHO;
07/2020;Contratação de empresa especializada no fornecimento de insumos para atender a demanda de produção de álcool em gel para combate ao covid-19.;3;R$ 4.256,00;JACAREZINHO;
08/2020;Contratação de empresa especializada no fornecimento de filamento petg para impressora 3d para confecção de máscaras.;1;R$ 862,51;JACAREZINHO;
09/2020;Contratação de empresa especializada na emissão de certificados digitais A3 - com validade de 03 anos.;1;R$ 1.316,00;JACAREZINHO;
10/2020;Contratação de empresa especializada na prestação de serviços de roçagem de áreas verdes, para atender a demanda do IFPR - Campus Jacarezinho - 90.000 m²;1;R$ 9.000,00;JACAREZINHO;
11/2020;Contratação de empresa especializada na prestação de serviços de desinsetização, desratização e limpeza de caixa d´água, para atender a demanda do IFPR - Campus Jacarezinho.;3;R$ 8.640,00;JACAREZINHO;
12/2020;Contratação de pessoa jurídica especializada no fornecimento de apólice de seguro predial, para atender a demanda do IFPR Campus Jacarezinho.;1;R$ 8.841,19;JACAREZINHO;
13/2020;Contratação de pessoa jurídica especializada na prestação de serviço de manutenção e reparo de danos nas estruturas do Campus Jacarezinho do IFPR.;1;R$ 23.719,49;JACAREZINHO;
14/2020;Contratação de empresa especializada no fornecimento de embalagens plásticas para armazenamento de álcool em gel.;1;R$ 823,65;JACAREZINHO;
15/2020;Contratação de empresa especializada no fornecimento de embalagens plásticas para armazenamento de álcool em gel.;2;R$ 823,65;JACAREZINHO;
16/2020;Contratação de empresa especializada no fornecimento de recarga para extintores de incêndio, para atender a demanda do IFPR - Campus Jacarezinho;6;R$ 1.629,00;JACAREZINHO;
17/2020;Contratação de empresa especializada no fornecimento de equipamento de bomba d'água para o sistema de captação de água pluvial do IFPR - Campus Jacarezinho;1;R$ 1.250,00;JACAREZINHO;
18/2020;Contratação de empresa especializada no fornecimento de material elétrico para atender a demanda do IFPR - Campus Jacarezinho.;35;R$ 15.213,37;JACAREZINHO;
19/2020;Contratação de empresa especializada na prestação de serviços de manutenção em aparelhos de ares condicionados. Contratação necessária para atender a demanda de infraestrutura do IFPR - Campus Jacarezinho.;7;R$ 9.897,14;JACAREZINHO;
20/2020;Aquisição de kit de alimentos não perecíveis, destinado ao atendimento do Programa Nacional de Alimentação Escolar (PNAE), no âmbito do IFPR - Campus Jacarezinho.;1;R$ 22.828,80;JACAREZINHO;
21/2020;Chamada pública para aquisição de gêneros alimentícios da agricultura familiar, destinado ao atendimento do Programa Nacional de Alimentação Escolar (PNAE), no âmbito do IFPR - Campus Jacarezinho;1;R$ 16.875,68;JACAREZINHO;
22/2020;Aquisição de kit de alimentos não perecíveis, destinado ao atendimento do Programa Nacional de Alimentação Escolar (PNAE), no âmbito do IFPR - Campus Jacarezinho.;4;R$ 22.828,80;JACAREZINHO;
23/2020;Empenho para atender despesas com a contratação de serviços de fornecimento de energia elétrica para o Campus Jacarezinho, no exercício 2020.;1;R$ 162.000,00;JACAREZINHO;
01/2020;Contratação especializada em em serviços de reparação e manutenção para troca da cobertura do pátio central do bloco administrativo (projeto padrão) do Campus Jaguariaíva, situado na avenida eloa martins passos félix,rodovia 151, na cidade de jaguariaíva.;1;R$ 58.650,22;JAGUARIAÍVA;
02/2020;"O projetor 4.000 lumens hdmi/usb. características: lens control?: manual zoom and focus?; tecnologia?: dlp single 0.55"""" xga?; resolução nativa?: 1024x768 pixels?; brilho?: 4,000 ansi lumens?; contraste?: 20000:1?; quantidade de cores?: 1.07 bilhões de cores?; lentes?: zoom manual e foco?; índice de projeção?: 1.96~2.15? - zoom?: 1.1x?; ajuste de keystone?: vert";1;R$ 2.860,00;JAGUARIAÍVA;
01/2019;Dispensa de licitação para substituição de fios e materiais elétricos no Campus Avançado Astorga.;;R$ 5.396,24;LONDRINA;
02/2019;Controlador de Acesso, tipo USB TOKEN, Aplicação Certificação Digital, Certificado Digital Tipo A3 para Astorga;;R$ 450,00;LONDRINA;
03/2019;Contratação de Serviços de Certificação Digital para o IFPR Campus Londrina;;R$ 540,00;LONDRINA;
04/2019;Aquisição de seguro predial com o objetivo de atender o IFPR - Campus Avançado Astorga;;R$ 2.807,48;LONDRINA;
05/2019;Contratação de Certificação Digital para o Campus Londrina.;;R$ 540,00;LONDRINA;
06/2019;Fornecimento de Serviços de Energia Elétrica.;;R$ 26.000,00;LONDRINA;
09/2019;Contratação de empresa especializada para aquisição de apólice de seguro predial para atender a dema...;;R$ 11.500,00;LONDRINA;
10/2019;Recarga de Extintores do IFPR Campus Londrina nas Unidades Dom Bosco e Alagoas.;;R$ 372,00;LONDRINA;
11/2019;Contratação de Serviço de Manutenção de Equipamentos Odontológicos no IFPR – Campus Londrina;;R$ 2.944,00;LONDRINA;
12/2019;Manutenção e Reparo em poltronas alocados no auditório do IPOLON.;;R$ 2.052,00;LONDRINA;
13/2019;Manutenção de Balança Analítica Campus Londrina;;R$ 600,00;LONDRINA;
14/2019;Manutenção em Aparelhos de Ar Condicionado do Campus Londrina;;R$ 3.900,00;LONDRINA;
15/2019;Contratação de Serviço de Apoio à Organização de Formatura dos Alunos do IFPR.;;R$ 1.750,00;LONDRINA;
16/2019;Token e Serviço de emissão, validação de Certificados Digitais do tipo A3, pessoa física (e-CPF), pa...;;R$ 345,00;LONDRINA;
17/2019;Execução de calçada ecológica em paver seguindo padrão da Prefeitura Municipal de Londrina.;;R$ 12.025,00;LONDRINA;
19/2019;Manutenção Instrumentos Musicais Campus Londrina;;R$ 648,02;LONDRINA;
20/2019;Coffee break para o II Encontro Nacional EJA EPT da Rede Federal, promovido pelo IFPR;;R$ 7.890,00;LONDRINA;
21/2019;Aquisição de Conjunto para Ozonioterapia - Aparelho Gerador e Acessórios);;R$ 9.270,00;LONDRINA;
22/2019;Locação de espaço para realização de cerimônia de formatura dos alunos do IFPR Campus Londrina.;;R$ 6.800,00;LONDRINA;
23/2019;Recarga de Gás GLP - 13Kg Para o Campus Londrina;;R$ 2.496,00;LONDRINA;
24/2019;Envelopes padrão A4 Para o Campus Londrina;;R$ 1.000,00;LONDRINA;
25/2019;Manutenção em vidros e esquadrias do Campus Londrina;;R$ 2.550,00;LONDRINA;
26/2019;Aquisição de Pastas Tamanho Ofício A4 Para o Campus Londrina;;R$ 4.000,00;LONDRINA;
28/2019;Fornecimento de Serviços de Energia Elétrica.;;R$ 124.200,00;LONDRINA;
02/2020;Estimativa de despesas de energia elétrica do Campus Avançado Astorga;1;R$ 60.000,00;LONDRINA;
03/2020;Contratação de empresa especializada em prestação de serviços de seguro predial.;1;R$ 2.454,49;LONDRINA;
04/2020;Recarga de Extintores do IFPR Campus Avançado Astorga.;1;R$ 421,00;LONDRINA;
06/2020;Serviço de fixação e instalação de painel metalon e arte em lona impressa(impressão digital 720 DPI ...;1;R$ 2.250,00;LONDRINA;
07/2020;Aquisição de recargas de extintores, placas de sinalização e Serviço de instalação de luminárias;1;R$ 3.197,00;LONDRINA;
08/2020;Serviço de manutenção e reparos em esquadrias metálicas(janelas) com substituição de peças;1;R$ 12.440,00;LONDRINA;
09/2020;Aquisição e contratação de itens para atividade de pesquisa científica, conforme projeto de pesquisa;38;R$ 497.125,47;LONDRINA;
11/2020;Avental confeccionado em TNT (Tecido Não Tecido) ou Poliester, manga longa, elástico nos punhos;1;R$ 9.627,00;LONDRINA;
12/2020;Aquisição de Material de Consumo para Montagem de Computador para pesquisa Covid IFPR Campus Londrina;7;R$ 7.525,07;LONDRINA;
13/2020;Aquisição de Kits de alimentos para fornecer aos alunos do ensino médio do IFPR Campus Londrina.;1;R$ 8.391,08;LONDRINA;
14/2020;Contratação de empresa especializada para aquisição de apólice de seguro predial;1;R$ 5.865,43;LONDRINA;
15/2020;O presente Termo de Referência tem por objetivo a aquisição de kits de alimentação;1;R$ 4.355,88;LONDRINA;
16/2020;quisição de Recarga de Extintores e Teste Hidrostático de Mangueira de Incêndio do IFPR;4;R$ 814,80;LONDRINA;
17/2020;Contratação de Seguro Predial para o IFPR Campus Londrina Unidades Dom Bosco e Norte.;1;R$ 9.064,30;LONDRINA;
18/2020;O presente Termo de Referência tem por objetivo a aquisição de kits de alimentação;1;R$ 4.575,87;LONDRINA;
19/2020;Aquisição de (GLU1)-FIBRINOPEPTIDEO B para Pesquisa Covid 19 - Campus Londrina;1;R$ 3.768,00;LONDRINA;
21/2020;Aquisição de cestas básicas de gêneros alimentícios da Agricultura Familiar ;1;R$ 3.566,48;LONDRINA;
22/2020;Dispensa DE LICITAÇÃO PARA AQUISIÇÃO DE KITS DE ALIMENTAÇÃO A SEREM DISTRIBUÍDOS AOS ALUNOS DO IFPR ...;1;R$ 4.765,11;LONDRINA;
23/2020;Contratação de empresa especializada na organização de evento intitulado AGROBIT BRASIL 2020;1;R$ 20.000,00;LONDRINA;
24/2020;oken e Serviço de emissão, validação de Certificados Digitais do tipo A3, pessoa física (e-CPF),;1;R$ 750,00;LONDRINA;
25/2020;Contratação de empresa especializada em emissão de certificação digital para renovação de acesso;1;R$ 870,00;LONDRINA;
26/2020;Aquisição de Equipamentos Odontológicos IFPR Campus Londrina: DESCRIÇÃO DOS ITENS;2;R$ 2.309,00;LONDRINA;
27/2020;Token do tipo A3, pessoa física (e-CPF), padrão ICP Brasil, com validade de 3 (três) anos.;1;R$ 560,00;LONDRINA;
28/2020;Contratação de empresa para fornecimento e instalação de gradil tipo Eurocerca para cercamento ;1;R$ 16.120,00;LONDRINA;
29/2020;Aquisição de SENSOR DIGITAL PARA TOMADAS RADIOGRÁFICAS ODONTOLÓGICAS para o IFPR Campus Londrina;1;R$ 9.990,00;LONDRINA;
30/2020;Aquisição de material de consumo e permanente para Pesquisa Edital Chamada Pública 20/2018;1;R$ 7.783,74;LONDRINA;
31/2020;Estimativa de despesa com energia elétrica do Campus Avançado Astorga,;1;R$ 60.000,00;LONDRINA;
32/2020;Aquisição de material de pesquisa referente ao convênio firmado com a Fundação Araucária.;16;R$ 14.664,72;LONDRINA;
33/2020;Aquisição de material para pesquisa convênio Fundação Araucária;16;R$ 14.664,72;LONDRINA;
34/2020;Contratação de serviços de roçagens para o campus avançado Astorga;1;R$ 14.426,80;LONDRINA;
35/2020;Contratação de Serviço de Fornecimento de Energia Elétrica.;1;R$ 132.000,00;LONDRINA;
37/2020;Contratação de Fundação de Apoio para execução de recursos financeiros captados através de Projeto ;1;R$ 49.000,00;LONDRINA;
01/2019;Material para conserto dos retorno da Piscina;;R$ 14.492,00;PALMAS;
06/2019;Aquisição de cabos HDMI 15 Metros;;R$ 3.545,00;PALMAS;
07/2019;A aquisição de dispositivo de armazenamento e serviços de emissão/renovação de certificado digital;;R$ 4.646,00;PALMAS;
08/2019;Serviço de impressão de flyers no tamanho A5, no couché brilho 90 gr, cores 4x4 padrão CMYK;;R$ 850,00;PALMAS;
09/2019;Impressão de cartaz no tamanho A3, no couché brilho 150 gr, cores 4x0 padrão CMYK.;;R$ 320,00;PALMAS;
10/2019;Serviço de Intalação dos retorno da piscina;;R$ 2.336,00;PALMAS;
11/2019;Serviço de Manutenção de ar-condicionado (retirada e re-instalação);;R$ 350,00;PALMAS;
12/2019;Seguro Veicular;;R$ 2.060,00;PALMAS;
13/2019;Aquisição de Colarinho e Chapéu Chaminé Caldeira;;R$ 650,00;PALMAS;
14/2019;Serviço de instalação do Colarinho e Chapéu Chaminé Caldeira;;R$ 129,00;PALMAS;
15/2019;Software Simulador de Estratégia Empresarial;;R$ 2.060,00;PALMAS;
16/2019;Aquisição das baterias para a troca nos rádios comunicadores do IFPR - Campus Palmas;;R$ 1.147,20;PALMAS;
17/2019;"Aquisição de Troféus para Premiação no Evento Institucional ""IF em Contextos""";;R$ 450,00;PALMAS;
18/2019;Aquisição de Água;;R$ 3.000,00;PALMAS;
19/2019;Aquisição de Fibra óptica e demais materiais de consumo necessário;;R$ 3.827,50;PALMAS;
20/2019;Aquisição de itens permanente para a instalação de fibra óptica;;R$ 1.350,00;PALMAS;
21/2019;Serviço de instalação de fibra óptica;;R$ 14.670,00;PALMAS;
22/2019;Seguro Predial Palmas e Coronel Vivida;;R$ 12.765,77;PALMAS;
23/2019;"Aquisição de equipamentos de áudio que atendam aos objetivos do projeto ""Promoarte - Arte e Cultura a qualquer hora""";;R$ 5.842,88;PALMAS;
24/2019;Empenho para atender despesa com fornecimento de energia para o Campus Palmas do Instituto Federal do Paraná, para o ano de 2020.;;R$ 360.000,00;PALMAS;
25/2019;Aquisição de Acervo Bibliográfico;;R$ 11.704,40;PALMAS;
26/2019;Aquisição de Acervo Bibliográfico;;R$ 2.522,28;PALMAS;
01/2020;Fornecimento de energia elétrica para o IFPR Campus Avançado Coronel Vivida para exercício 2020.;1;R$ 36.000,00;PALMAS;
02/2020;Aquisição direta de serviços de emissão, renovação e validação de certificado digital (com token);4;R$ 7.770,00;PALMAS;
03/2020;Contratação de empresa especializada no fornecimento de água mineral sob demanda em vasilhame ;2;R$ 8.437,90;PALMAS;
04/2020;Seguro veicular para atender a frota do IFPR do Campus Palmas.;2;R$ 4.622,00;PALMAS;
06/2020;Aquisição de telhas para o Campus Palmas devido ao destelhamento por conta do vendaval;1;R$ 313,00;PALMAS;
07/2020;AQUISIÇÃO DE TELHA TRANSLÚCIDA ONDULADA POLIPROPILENO 110 X 244 CM - ODULAÇÃO 6 MM;1;R$ 2.073,40;PALMAS;
08/2020;AQUISIÇÃO CUMMEIRAS DE FIBROCIMENTO PARA TELHA ONDULADA - 6MM - 25 GRAUS OU UNIVERSAL;1;R$ 1.089,90;PALMAS;
09/2020;Aquisição direta aquisição de 100 (cem) TELHAS DE CIMENTO COPPO VENETO 42X33CM COR CINZA.;1;R$ 313,00;PALMAS;
10/2020;Aquisição de telha translúcida ondulada polipropileno 110 x 244 cm - ondulação 6 mm.;1;R$ 2.073,40;PALMAS;
11/2020;Aquisição de cummeiras de fibrocimento para telha ondulada 6 mm - 25 graus ou universal.;1;R$ 1.089,90;PALMAS;
12/2020;Aquisição sob demanda de gás de cozinha (GLP), botijão com 13 kg;1;R$ 1.917,00;PALMAS;
13/2020;A aquisição do seguro para a frota com o objetivo de atender o IFPR - Campus Palmas.;1;R$ 5.575,00;PALMAS;
14/2020;Aquisição de kits de alimentos referente ao PNAE.;1;R$ 28.034,56;PALMAS;
15/2020;Central PABX híbrida analógica, digital e IP, com módulos para 4 linhas instalados e expansível;2;R$ 2.966,00;PALMAS;
16/2020;Aquisição de Central PABX (entrega com instalação no local, configuração do equipamento ;1;R$ 80,00;PALMAS;
17/2020;Aquisição de Central PABX (entrega com instalação no local, configuração do equipamento;1;R$ 290,00;PALMAS;
18/2020;Aquisição de Central PABX (entrega com instalação no local, configuração do equipamento;1;R$ 150,00;PALMAS;
19/2020;"Aquisição de central PABX	";2;R$ 2.966,00;PALMAS;
20/2020;Serviço de Corretagem de Seguro para atender o Campus Palmas e Coronel Vivida;1;R$ 12.342,44;PALMAS;
01/2019;MANUTENÇÃO DE AR CONDICIONADO;;R$ 8.045,00;PARANAGUÁ;
02/2019;REFORMA DO PALCO DO AUDITÓRIO;;R$ 16.950,00;PARANAGUÁ;
03/2019;GASOLINA E ÓLEO;;R$ 2.061,00;PARANAGUÁ;
04/2019;ÁGUA E GÁS GLP;;R$ 5.540,00;PARANAGUÁ;
05/2019;ILUMINAÇÃO E SONORIZAÇÃO;;R$ 3.000,00;PARANAGUÁ;
06/2019;DEDETIZAÇÃO;;R$ 8.400,00;PARANAGUÁ;
07/2019;TOKENS E CERTIFICADOS DIGITAIS;;R$ 2.880,00;PARANAGUÁ;
08/2019;SEGURO PREDIAL;;R$ 3.100,00;PARANAGUÁ;
09/2019;RECARGA EXTINTORES E TESTE HIDROSTÁTICO;;R$ 3.739,00;PARANAGUÁ;
10/2019;LOUSAS DE VIDRO E ESPELHO;;R$ 15.040,00;PARANAGUÁ;
11/2019;CILINDROS DE ARGÔNIO E RECARGA GASES;;R$ 11.000,00;PARANAGUÁ;
12/2019;REPARO REFRIGERADORES;;R$ 2.800,00;PARANAGUÁ;
14/2019;CHAVEIRO;;R$ 2.502,10;PARANAGUÁ;
15/2019;COFFE BREAK;;R$ 15.600,00;PARANAGUÁ;
16/2019;TRANSPORTE PARA SEBRAE EXPERIENCE;;R$ 1.600,00;PARANAGUÁ;
17/2019;ITENS ELETRÔNICA PROJETO GIL;;R$ 539,90;PARANAGUÁ;
17/2019;COMPONENTES ELETRÔNICOS PROJETO CAMPUS INTELIGENTE;;R$ 883,50;PARANAGUÁ;
17/2019;ITENS ELETRÔNICA PROJETO GIL;;R$ 8.509,80;PARANAGUÁ;
18/2019;ITENS ELETRÔNICA PROJETO GIL;;R$ 1.751,50;PARANAGUÁ;
19/2019;SERVIÇOS GRAFICOS PROJETO LITORAL AGROECOLÓGICO;;R$ 1.490,50;PARANAGUÁ;
20/2019;ENERGIA ELÉTRICA;;R$ 360.000,00;PARANAGUÁ;
01/2020;Contratação de pessoa jurídica para prestação de serviços de desinsetização, desratização e limpeza de caixas d'água ao IFPR - Campus Paranaguá para o ano de 2020.;3;R$ 6.000,00;PARANAGUÁ;
02/2020;Contratação de serviços de disponibilização pela Associação Brasileira de Editores Científicos (ABEC BRASIL) de DOI (Digital Object Identifier) necessários à regular publicação dos textos científicos da Revista Mundi IFPR.;1;R$ 1.724,00;PARANAGUÁ;
04/2020;Aquisição de equipamentos e materiais necessários à Fabricação de máscaras de proteção facial com estrutura construída por impressão em 3D, com vistas à combater a propagação do coronavírus (COVID-19.;3;R$ 15.847,00;PARANAGUÁ;
05/2020;Contratação de pessoa jurídica para publicação em jornal de grande circulação na cidade de Paranaguá de edital de citação de envolvidos em processo.;1;R$ 400,00;PARANAGUÁ;
06/2020;Contratação de empresa especializada para prestação de serviços de manutenção das áreas externas do Campus Paranaguá, incluindo a limpeza de cobertura galvanizada externa, pintura de meio fio e demarcação de vagas de estacionamento, roçada e capinagem de áreas verdes e poda de flores, árvores e arbustos.;4;R$ 16.590,00;PARANAGUÁ;
07/2020;Contratação de pessoa jurídica especializada na prestação de serviços de seguro predial para atender a demanda do Instituto Federal do Paraná - Campus Paranaguá;1;R$ 3.366,78;PARANAGUÁ;
08/2020;Contratação de serviços de disponibilização pela Associação Brasileira de Editores Científicos (ABEC BRASIL) de DOI (Digital Object Identifier) necessários à regular publicação dos textos científicos da Revista Mundi IFPR.;1;R$ 2.002,88;PARANAGUÁ;
09/2020;Aquisição de gêneros alimentícios da Agricultura Familiar e do Empreendedor Familiar Rural, para o atendimento ao Programa Nacional de Alimentação Escolar – PNAE.;1;R$ 8.781,76;PARANAGUÁ;
10/2020;Aquisição de gêneros alimentícios da Agricultura Familiar e do Empreendedor Familiar Rural, para o atendimento ao Programa Nacional de Alimentação Escolar – PNAE.  ;2;R$ 7.437,66;PARANAGUÁ;
11/2020;Aquisição de gêneros alimentícios da Agricultura Familiar e do Empreendedor Familiar Rural, para o atendimento ao Programa Nacional de Alimentação Escolar – PNAE.  ;4;R$ 6.526,05;PARANAGUÁ;
12/2020;Aquisição de gêneros alimentícios da Agricultura Familiar e do Empreendedor Familiar Rural, para o atendimento ao Programa Nacional de Alimentação Escolar – PNAE.;1;R$ 8.781,76;PARANAGUÁ;
13/2020;Aquisição de totens para álcool gel com pedal, dimensões mínimas: 250 x 1150 mm (l x a), estrutura tubular em aço, com tratamento antiferrugem e pintura epóxi, cor verde. Deve possuir pedal para acionamento pelo pé sem tocar as mãos, abertura fácil para retirada e reposição do frasco de álcool em gel para frasco de no mínimo 500 ml.;1;R$ 3.736,98;PARANAGUÁ;
14/2020;"Aquisição de instrumentos musicais e acessórios ao Núcleo de Arte e Cultura, com vistas à oferta de curso FIC ""Músico de Banda"" e suporte ao projeto ""Oficinas de música e formação de banda"" do Campus Paranaguá do Instituto Federal do Paraná.";4;R$ 17.629,99;PARANAGUÁ;
15/2020;Contratação de pessoa jurídica para realização de recargas e teste hidrostático de extintores de incêndio e testes hidrostáticos de mangueiras de incêndio do Instituto Federal do Paraná - Campus Paranaguá.;9;R$ 4.540,00;PARANAGUÁ;
16/2020;Contratação de pessoa jurídica para prestação de serviços de revisão ortográfica, diagramação e tradução (para o Inglês) de livro escrito e organizado pelo corpo docente do Programa de Pós-graduação em Ciência, Tecnologia e Sociedade (PPGCTS) do Instituto Federal do Paraná - Campus Paranaguá.;1;R$ 8.600,00;PARANAGUÁ;
18/2020;Contratação de Serviço de fornecimento de energia elétrica para atender o Campus Paranaguá do IFPR no exercício de 2021.;1;R$ 300.000,00;PARANAGUÁ;
01/2019;Aquisição de materiais para laboratório de soldagem;;R$ 960,50;PARANAVAÍ;
02/2019;Prestação de Serviço de publicação em D iário Oficial da União dos Atos Oficiais;;R$ 5.400,00;PARANAVAÍ;
03/2019;Prestação de serviço de fornecimento de lanche em intervalo de eventos realizados no I FPR;;R$ 2.205,00;PARANAVAÍ;
04/2019;Aquisição de materiais para cerimônia formatura;;R$ 300,00;PARANAVAÍ;
05/2019;Aquisição de materiais para manutenção das portas e janelas de vidro no Bloco 2 - Didático;;R$ 445,00;PARANAVAÍ;
06/2019;Aquisição de tinta para impressora inst alada na biblioteca do campus;;R$ 228,00;PARANAVAÍ;
07/2019;Aquisição de materiais para manutenção de persianas.;;R$ 344,00;PARANAVAÍ;
08/2019;Contratação de serviços de publicações oficiais em jornal de circulação regional para atender às necessidades do IFPR;;R$ 400,00;PARANAVAÍ;
09/2019;Prestação de serviços de manutenção cor retiva e preventiva de ares condicionados.;;R$ 3.400,00;PARANAVAÍ;
10/2019;Aquisição de Fundo sintético anticorros ivo com secagem rápida (ZARCÃO);;R$ 182,37;PARANAVAÍ;
11/2019;Aquisição de materiais de construção pa ra manutenção de bens imóveis;;R$ 1.754,00;PARANAVAÍ;
12/2019;Aquisição de Boias e Espudes para Manut enção de Instalações Hidráulicas;;R$ 620,00;PARANAVAÍ;
13/2019;Aquisição de material químico para aula s e projetos do curso de agroindústria;;R$ 1.805,00;PARANAVAÍ;
14/2019;Aquisição de materiais para realização das oficinas realizadas no SIPEN e Semana do Me io Ambiente;;R$ 285,00;PARANAVAÍ;
15/2019;Reforço de empenho para aquisição de ma teriais de construção para manutenção de bens i móveis;;R$ 307,50;PARANAVAÍ;
16/2019;Aquisição e renovação de certificados d igitais para os servidores do IFPR;;R$ 3.483,00;PARANAVAÍ;
17/2019;Aquisição de materiais para realização de oficinas na Semana do Meio Ambiente;;R$ 108,05;PARANAVAÍ;
18/2019;Aquisição de materiais para manutenção da central de alarme de incêndio do campus;;R$ 1.451,15;PARANAVAÍ;
19/2019;Aquisição de carimbos institucionais.;;R$ 1.210,00;PARANAVAÍ;
20/2019;Aquisição de materiais para manutenção de bens imóveis;;R$ 370,00;PARANAVAÍ;
21/2019;Aquisição de materiais para manutenção de bens imóveis;;R$ 970,50;PARANAVAÍ;
22/2019;Aquisição de materiais para manutenção de bens imóveis;;R$ 60,75;PARANAVAÍ;
23/2019;Aquisição de materiais para manutenção de bens imóveis;;R$ 148,00;PARANAVAÍ;
24/2019;Aquisição de materiais para manutenção de bens imóveis;;R$ 98,72;PARANAVAÍ;
25/2019;Aquisição e renovação de certificados d igitais para os servidores do IFPR Campus Paran avaí;;R$ 3.420,00;PARANAVAÍ;
26/2019;Aquisição de acionadores e sirenes para manutenção do sistema de alarmes de incêndio d o bloco administrativo.;;R$ 1.540,10;PARANAVAÍ;
27/2019;Aquisição de materiais para manutenção do sistema de iluminação pública;;R$ 127,00;PARANAVAÍ;
28/2019;Aquisição de materiais para manutenção da cancela da portaria do campus;;R$ 165,76;PARANAVAÍ;
29/2019;Aquisição e Instalação de Sinalizadores e Acionadores para manutenção do Sistema de Pr evenção de Incêndios.;;R$ 887,80;PARANAVAÍ;
31/2019;Aquisição de materiais para aulas de la boratórios dos cursos de Técnico em Eletromecân ica Subsequente, Técnico em Mecatrônica Integra do ao Ensino Médio e Engenharia Elétrica;;R$ 333,74;PARANAVAÍ;
32/2019;Aquisição de material de limpeza para quadra poliesportiva.;;R$ 1.343,80;PARANAVAÍ;
33/2019;Prestação de serviço de fornecimento de lanche em intervalo de eventos realizados no I FPR;;R$ 5.780,00;PARANAVAÍ;
34/2019;Aquisição de materiais para aulas práti cas dos cursos de mecatrônica e eletromecânica;;R$ 528,50;PARANAVAÍ;
35/2019;Aquisição de materiais para manutenção da guarita do campus;;R$ 2.450,00;PARANAVAÍ;
36/2019;Aquisição de materiais para manutenção da guarita e iluminação externa do campus;;R$ 3.299,00;PARANAVAÍ;
37/2019;Contratação de renovação para seguro pr edial do Campus Paranavaí;;R$ 4.929,22;PARANAVAÍ;
38/2019;Inscrição de servidoras da Diretoria de Planejamento e Administração em capacitações d a área de planejamento de licitações, compras e contratos;;R$ 15.880,00;PARANAVAÍ;
39/2019;Aquisição de Materiais para manutenção de bens imóveis;;R$ 580,00;PARANAVAÍ;
40/2019;Contratação de serviços de transporte p ara realização de visitas técnicas;;R$ 15.730,00;PARANAVAÍ;
41/2019;Aquisição para manutenção de bens imóve is.;;R$ 432,00;PARANAVAÍ;
42/2019;Aquisição de Materiais para Manutenção da Segurança do Acesso Principal do Campus Para navaí.;;R$ 5.576,50;PARANAVAÍ;
43/2019;Aquisição de acessórios e materiais par a manutenção de instrumentos musicais da aulas práticas das disciplinas de artes;;R$ 700,00;PARANAVAÍ;
45/2019;Aquisição de Equipamentos para as Salas de Convivência.;;R$ 4.000,08;PARANAVAÍ;
46/2019;Aquisição de Materiais Elétricos (Guia Passa Fio e Multímetro Digital) para atender de manda dos Técnicos de TI;;R$ 57,01;PARANAVAÍ;
47/2019;Aquisição de encordoamentos e suportes para instrumentos musicais das aulas práticas d a disciplina de artes.;;R$ 1.169,00;PARANAVAÍ;
48/2019;Aquisição de Chaveiros para a Bibliotec a do Campus Paranavaí;;R$ 800,00;PARANAVAÍ;
49/2019;Contratação de empresa especializada na prestação de serviços, sob demanda, capinagem e conservação de áreas de propriedade e uso do IFPR (ROÇADA), para atender as necessidades do Instituto Federal do Paraná;;R$ 17.600,00;PARANAVAÍ;
50/2019;Aquisição de materiais para manutenção de bens móveis.;;R$ 193,50;PARANAVAÍ;
51/2019;Aquisição e Instalação de Peças e Servi ços para Manutenção Corretiva e Preventiva de A res Condicionados;;R$ 14.045,00;PARANAVAÍ;
52/2019;Aquisição de materiais para festividade s e homenagens;;R$ 150,00;PARANAVAÍ;
53/2019;Aquisição de mudas de plantas para pais agismo;;R$ 16.627,00;PARANAVAÍ;
54/2019;Aquisição de materiais para manutenção de computadores do campus;;R$ 17.376,72;PARANAVAÍ;
55/2019;Aquisição de materiais elétricos para m anutenção geral.;;R$ 1.749,50;PARANAVAÍ;
56/2019;Aquisição de sistema gerador fotovoltái co 6,6 Wp com projeto e instalação inclusos;;R$ 17.600,00;PARANAVAÍ;
57/2019;Inscrição de servidoras da Diretoria de Planejamento e Administração em capacitações d a área de planejamento de licitações, compras e contratos;;R$ 13.980,00;PARANAVAÍ;
58/2019;Inscrição de servidoras da Diretoria de Planejamento e Administração em capacitações d a área de planejamento de licitações, compras e contratos.;;R$ 1.900,00;PARANAVAÍ;
59/2019;Aquisição de cabeamento para equipament os de sonorização e instrumentos musicais;;R$ 1.235,00;PARANAVAÍ;
61/2019;Aquisição de material elétrico e materi al de manutenção.;;R$ 771,00;PARANAVAÍ;
62/2019;Aquisição de Piso Intertravado em Concreto.;;R$ 3.306,50;PARANAVAÍ;
63/2019;Aquisição de Gêneros Alimentícios;;R$ 1.901,50;PARANAVAÍ;
